tournament_id,year,host_country,winning_team_id,runner_up_team_id,matches_played
1,1930,Uruguay,12,1,18
2,1934,Italy,19,15,17
3,1938,France,19,18,18
4,1950,Brazil,12,4,22
5,1954,Switzerland,32,18,26
6,1958,Sweden,4,22,35
7,1962,Chile,4,15,32
8,1966,England,28,32,32
9,1970,Mexico,4,19,32
10,1974,West Germany,32,20,38
11,1978,Argentina,1,20,38
12,1982,Spain,19,32,52
13,1986,Mexico,1,32,52
14,1990,Italy,32,1,52
15,1994,United States,4,19,52
16,1998,France,6,4,64
17,2002,"Korea, Japan",4,17,64
18,2006,Germany,19,6,64
19,2010,South Africa,21,20,64
20,2014,Brazil,17,1,64
21,2018,Russia,6,64,64
22,2022,Qatar,1,6,64
